timestamp,moisture_before,duration,threshold,moisture_after,needed_watering
2025-01-21 08:34:12.048866,22,9,35,58,True
2024-12-23 08:34:12.048866,40,14,25,62,False
2024-12-12 08:34:12.048866,9,15,30,31,True
2024-09-03 08:34:12.048866,23,3,25,67,True
2024-11-23 08:34:12.048866,12,12,35,54,True
2024-12-23 08:34:12.048866,14,4,25,60,True
2024-11-14 08:34:12.048866,27,13,35,64,True
2025-03-09 08:34:12.048866,39,3,25,60,False
2024-09-30 08:34:12.048866,17,10,35,45,True
2024-12-21 08:34:12.048866,19,4,25,59,True
2024-05-17 08:34:12.048866,14,8,25,49,True
2024-04-10 08:34:12.048866,39,9,35,71,False
2024-12-26 08:34:12.048866,28,9,30,51,True
2024-11-11 08:34:12.048866,17,14,25,58,True
2024-09-24 08:34:12.048866,38,15,35,64,False
2024-09-06 08:34:12.048866,16,12,25,40,True
2024-07-13 08:34:12.048866,9,10,25,43,True
2024-07-28 08:34:12.048866,31,4,35,79,True
2025-03-06 08:34:12.048866,17,7,25,51,True
2025-02-03 08:34:12.048866,31,5,30,72,False
2024-09-22 08:34:12.048866,8,8,30,37,True
2025-01-17 08:34:12.048866,7,10,30,52,True
2024-10-25 08:34:12.048866,6,12,30,30,True
2025-01-30 08:34:12.048866,22,9,25,68,True
2025-01-05 08:34:12.048866,10,5,25,52,True
2024-05-15 08:34:12.048866,8,11,30,41,True
2024-10-16 08:34:12.048866,22,11,25,71,True
2024-11-10 08:34:12.048866,27,3,35,57,True
2024-06-30 08:34:12.048866,8,10,30,56,True
2024-09-06 08:34:12.048866,6,12,35,43,True
2024-07-03 08:34:12.048866,5,13,35,42,True
2024-05-28 08:34:12.048866,14,7,35,38,True
2025-03-11 08:34:12.048866,34,12,30,59,False
2025-03-09 08:34:12.048866,33,14,35,71,True
2025-03-01 08:34:12.048866,39,4,25,74,False
2024-09-07 08:34:12.048866,27,11,25,54,False
2024-08-29 08:34:12.048866,7,15,25,40,True
2024-12-10 08:34:12.048866,29,15,25,51,False
2024-07-23 08:34:12.048866,27,4,30,64,True
2024-05-08 08:34:12.048866,24,12,25,63,True
2024-06-18 08:34:12.048866,30,6,25,57,False
2025-01-05 08:34:12.048866,5,9,30,25,True
2024-06-15 08:34:12.048866,16,10,35,46,True
2024-09-26 08:34:12.048866,16,10,25,51,True
2025-03-19 08:34:12.048866,7,12,35,51,True
2024-04-19 08:34:12.048866,34,9,25,58,False
2025-03-08 08:34:12.048866,32,13,25,72,False
2024-11-21 08:34:12.048866,6,10,25,31,True
2024-08-18 08:34:12.048866,6,4,30,33,True
2024-03-31 08:34:12.048866,23,13,30,43,True
2024-03-29 08:34:12.048866,23,5,35,46,True
2024-08-16 08:34:12.048866,37,3,25,79,False
2024-12-17 08:34:12.048866,31,12,25,64,False
2024-10-24 08:34:12.048866,12,14,25,54,True
2024-10-09 08:34:12.048866,19,11,30,45,True
2024-08-16 08:34:12.048866,11,13,25,35,True
2024-10-30 08:34:12.048866,25,12,30,46,True
2025-02-06 08:34:12.048866,31,11,30,55,False
2024-11-21 08:34:12.048866,30,15,35,75,True
2024-09-26 08:34:12.048866,21,7,30,66,True
2024-10-01 08:34:12.048866,31,14,30,62,False
2024-10-31 08:34:12.048866,15,6,30,49,True
2024-04-01 08:34:12.048866,23,9,30,53,True
2025-01-05 08:34:12.048866,19,13,30,57,True
2024-11-06 08:34:12.048866,12,8,35,56,True
2024-07-05 08:34:12.048866,22,4,25,70,True
2025-01-08 08:34:12.048866,21,5,35,70,True
2024-11-21 08:34:12.048866,6,6,25,28,True
2025-02-07 08:34:12.048866,26,15,30,62,True
2024-12-13 08:34:12.048866,14,5,30,38,True
2024-04-11 08:34:12.048866,7,4,30,41,True
2024-06-25 08:34:12.048866,6,11,25,35,True
2024-06-16 08:34:12.048866,18,9,30,55,True
2024-05-27 08:34:12.048866,21,8,30,70,True
2025-03-14 08:34:12.048866,11,8,35,45,True
2024-10-30 08:34:12.048866,32,8,25,55,False
2024-04-24 08:34:12.048866,26,3,30,67,True
2025-01-15 08:34:12.048866,12,3,30,47,True
2025-02-10 08:34:12.048866,24,5,30,63,True
2025-03-18 08:34:12.048866,26,8,35,73,True
2024-04-16 08:34:12.048866,12,3,30,40,True
2025-03-23 08:34:12.048866,15,13,35,48,True
2024-07-03 08:34:12.048866,16,14,30,56,True
2025-01-18 08:34:12.048866,7,5,35,42,True
2024-04-20 08:34:12.048866,37,4,30,86,False
2025-01-25 08:34:12.048866,16,3,25,55,True
2024-12-24 08:34:12.048866,36,8,25,58,False
2024-10-05 08:34:12.048866,19,13,35,64,True
2024-05-15 08:34:12.048866,28,15,30,63,True
2024-07-07 08:34:12.048866,10,6,25,59,True
2024-05-05 08:34:12.048866,35,5,30,74,False
2024-09-10 08:34:12.048866,26,7,30,64,True
2024-06-24 08:34:12.048866,19,13,35,60,True
2024-11-03 08:34:12.048866,37,14,25,66,False
2024-06-20 08:34:12.048866,8,6,35,34,True
2024-12-23 08:34:12.048866,11,14,35,38,True
2024-07-25 08:34:12.048866,30,15,30,58,False
2025-02-15 08:34:12.048866,13,14,25,52,True
2024-04-22 08:34:12.048866,16,12,30,42,True
2025-03-17 08:34:12.048866,31,15,35,80,True
2024-12-16 08:34:12.048866,21,10,25,70,True
2025-02-20 08:34:12.048866,20,4,25,51,True
2024-07-01 08:34:12.048866,32,13,25,71,False
2024-09-29 08:34:12.048866,26,7,30,53,True
2024-10-28 08:34:12.048866,21,10,30,68,True
2024-03-28 08:34:12.048866,20,13,30,57,True
2024-04-26 08:34:12.048866,16,12,30,40,True
2024-07-30 08:34:12.048866,37,10,25,70,False
2024-06-15 08:34:12.048866,19,7,35,54,True
2024-07-11 08:34:12.048866,33,15,35,57,True
2024-05-13 08:34:12.048866,5,4,25,46,True
2024-07-23 08:34:12.048866,38,6,30,62,False
2025-02-22 08:34:12.048866,18,15,25,42,True
2025-03-21 08:34:12.048866,34,14,25,56,False
2024-11-23 08:34:12.048866,34,12,35,79,True
2024-11-28 08:34:12.048866,13,13,25,61,True
2024-12-07 08:34:12.048866,18,3,35,56,True
2024-12-02 08:34:12.048866,11,4,25,52,True
2024-11-30 08:34:12.048866,28,4,35,61,True
2025-02-20 08:34:12.048866,31,14,30,67,False
2025-01-20 08:34:12.048866,14,8,35,47,True
2025-01-04 08:34:12.048866,33,11,35,68,True
2024-12-19 08:34:12.048866,25,3,25,54,False
2024-10-21 08:34:12.048866,29,11,35,52,True
2024-12-19 08:34:12.048866,24,4,35,63,True
2024-11-02 08:34:12.048866,35,9,35,78,False
2024-04-29 08:34:12.048866,15,14,35,42,True
